name,twitterHandler,linkTwitter,project,image,note
Vitalik Buterin,@VitalikButerin,,Co-founder Ethereum,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/vitalik%20buterin.jpeg?alt=media,
Changpeng Zhao,@cz_binance,,Founder Binance,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/CZ.jpeg?alt=media,
Michael Saylor,@saylor,,MicroStrategy,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/michael%20saylor.jpeg?alt=media,
Elon Musk,@elonmusk,,CEO of Tesla Motors,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Elon%20Musk.jpeg?alt=media,
Barry Silbert,@BarrySilbert,,CEO of Digital Currency Group,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/barry%20silbert.jpeg?alt=media,
Brian Armstrong,@brian_armstrong,,CEO Coinbase,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/brian%20armstrong.png?alt=media,
Jack Dorsey,@jack,,CEO Square,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jack%20Dorsey.jpeg?alt=media,
Roger Ver,@rogerkver,,Investor ,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Roger%20Ver.jpeg?alt=media,
Chris Larsen,@chrislarsensf,,Co-founder & Executive Chairman of Ripple,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Chris%20Larsen.png?alt=media,
Gavin Wood,@gavofyork,,"Founded Polkadot, Kusama, Ethereum, Parity, Web3 Foundation.",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gavin%20Wood.jpeg?alt=media,
Mark Cuban,@mcuban,,"American businessman, film producer, investor, and television personality",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mark%20Cuban.jpeg?alt=media,
Paris Hilton,@ParisHilton,,American media personality and businesswoman,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Paris%20Hilton.jpeg?alt=media,
Andreas Antonopoulos,@aantonop,,"a British-Greek Bitcoin advocate, tech entrepreneur, and author",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Andreas%20Antonopoulos.jpeg?alt=media,
Anthony Pompliano,@APompliano,,Co-founder and partner of Morgan Creek Digital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Anthony%20Pompliano.jpeg?alt=media,
Caitlin Long,@CaitlinLong_,,the founder and CEO of Custodia Bank.,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Caitlin%20Long.jpeg?alt=media,
Charles Hoskinson,@IOHK_Charles,,Co-Founder of Ethereum. Founder of Cardano,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Charles%20Hoskinson.jpeg?alt=media,
Ashton Kutcher,@aplusk,,American actor and film producer,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ashton%20Kutcher.jpeg?alt=media,
Andre Cronje,@AndreCronjeTech,,"Co-Founder & Architect Fantom. Previously; Founder 
Yearn.finance. Founder Keep3r Network",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Andre%20Cronje.jpeg?alt=media,
Sam Bankman-Fried,Jed McCaleb,,Founder and CEO of Alameda Research and FTX,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/SBF.jpeg?alt=media,
Hayden Adams,@haydenzadams,,Inventor of the Uniswap Protocol,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Hayden%20Adams.jpeg?alt=media,
Juan Benet,@juanbenet,,Founder and CEO of Protocol Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Juan%20Benet.jpeg?alt=media,
Kris Marszalek,@kris_marszalek_ ,,Co-founder and CEO of Crypto.com,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kris%20Marszalek.jpeg?alt=media,
PlanB,@100trillionUSD,,Creator of the Bitcoin Stock-to-Flow model,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/PlanB.jpeg?alt=media,
Jesse Powell,@jespow,,Co-founder and CEO of Kraken,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jesse%20Powell.jpeg?alt=media,
Ria Bhutoria,@riabhutoria,,Former Director of research at Fidelity Digital Assets,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ria%20Bhutoria.jpeg?alt=media,
Paul Tudor Jones,@ptj_official,,Founder and chief investment officer of Tudor Investment Corporation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Paul%20Tudor%20Jones.jpeg?alt=media,
Kristin Smith,@KMSmithDC,,Executive director of the Blockchain Association,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/kristin%20smith.jpeg?alt=media,
Sergey Nazarov ,@SergeyNazarov,,"Co-founder and CEO of SmartContract, Co-founder of Chainlink",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sergey%20Nazarov%20.jpeg?alt=media,
Camila Russo ,@CamiRusso,,"Founder of The Defiant and author of ""The Infinite Machine""",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Camila%20Russo%20.jpeg?alt=media,
Robert Leshner,@rleshner,,Founder and CEO of Compound Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Robert%20Leshner.png?alt=media,
Pieter Wuille ,@pwuille,,"Engineer at Chaincode Labs, Bitcoin Core developer, former co-founder and core engineer of Blockstream",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Pieter%20Wuille%20.jpeg?alt=media,
Bobby Ong ,@bobbyong,,Co-founder and chief operating officer of CoinGecko,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Bobby%20Ong.jpeg?alt=media,
